Date,Not indexed,Indexed,Impressions
2026-06-11,349,273,0
2026-06-12,617,319,0
2026-06-13,617,319,0
2026-06-14,617,319,0
2026-06-15,617,319,0
2026-06-16,617,319,0
2026-06-17,617,319,0
2026-06-18,617,319,0
2026-06-19,617,319,0
2026-06-20,617,319,0
2026-06-21,617,319,0
2026-06-22,617,319,0
2026-06-23,617,319,0
2026-06-24,617,319,0
2026-06-25,617,319,0
2026-06-26,617,319,0
2026-06-27,617,319,0
2026-06-28,617,319,0
2026-06-29,617,319,2
2026-06-30,746,370,0
2026-07-01,746,370,1
2026-07-02,746,370,0
2026-07-03,746,370,0
2026-07-04,746,370,0
2026-07-05,746,370,0
2026-07-06,746,370,0
2026-07-07,746,370,0
2026-07-08,746,370,0
2026-07-09,746,370,0
2026-07-10,853,341,0
2026-07-11,853,341,13
2026-07-12,853,341,1
2026-07-13,853,341,4
2026-07-14,853,341,0
2026-07-15,853,341,0
2026-07-16,853,341,0
2026-07-17,853,341,0
2026-07-18,853,341,0
2026-07-19,853,341,0
2026-07-20,853,341,2
2026-07-21,853,341,0
2026-07-22,853,341,0
2026-07-23,853,341,0
2026-07-24,883,323,0
2026-07-25,883,323,0
2026-07-26,883,323,0
2026-07-27,883,323,0
2026-07-28,883,323,0
2026-07-29,883,323,0
2026-07-30,883,323,0
2026-07-31,883,323,0
2026-08-01,883,323,0
2026-08-02,883,323,0
2026-08-03,883,323,0
2026-08-04,883,323,0
2026-08-05,900,312,0
2026-08-06,900,312,1
2026-08-07,926,298,0
2026-08-08,926,298,0
2026-08-09,926,298,0
2026-08-10,941,286,0
2026-08-11,941,286,0
2026-08-12,941,286,0
2026-08-13,941,286,0
2026-08-14,945,284,0
2026-08-15,945,284,0
2026-08-16,945,284,0
2026-08-17,954,287,0
2026-08-18,954,287,0
2026-08-19,954,287,0
2026-08-20,954,287,0
2026-08-21,993,289,0
2026-08-22,993,289,0
2026-08-23,993,289,0
2026-08-24,993,289,0
2026-08-25,993,289,0
2026-08-26,993,289,0
2026-08-27,993,289,0
2026-08-28,1006,285,0
2026-08-29,1006,285,0
2026-08-30,1006,285,0
2026-08-31,1006,285,0
2026-09-01,1006,285,0
2026-09-02,1006,285,0
2026-09-03,1006,285,0
